"","Hugo_Symbol","n_pts","n_tumor_samples"
"508","ALOX5",2,2
"509","ALOXE3",1,1
"510","ALPG",4,4
"511","ALPI",3,3
"512","ALPK1",4,5
"513","ALPK2",3,3
"514","ALPK3",3,3
"515","ALPL",2,2
"516","ALPP",1,1
"517","ALS2",2,2
"518","ALS2CL",2,2
"519","ALX1",2,3
"520","ALX4",2,2
"521","AMBRA1",2,2
"522","AMD1",1,1
"523","AMDHD1",3,3
"524","AMDHD2",2,2
"525","AMELX",2,2
"526","AMER1",2,2
"527","AMER2",2,2
"528","AMFR",4,5
"529","AMHR2",1,1
"530","AMIGO1",1,1
"531","AMIGO3",2,2
"532","AMMECR1",1,1
"533","AMMECR1L",2,4
"534","AMN",1,1
"535","AMN1",2,3
"536","AMOT",3,3
"537","AMOTL1",1,1
"538","AMOTL2",1,1
"539","AMPD1",4,4
"540","AMPD3",3,4
"541","AMPH",3,4
"542","AMT",1,1
"543","AMY1B",1,1
"544","AMY2A",2,3
"545","AMY2B",2,2
"546","AMZ2",1,1
"547","ANAPC1",1,1
"548","ANAPC10",1,1
"549","ANAPC2",3,4
"550","ANAPC4",3,3
"551","ANAPC5",2,2
"552","ANG",1,1
"553","ANGEL1",1,1
"554","ANGEL2",3,3
"555","ANGPT2",1,1
"556","ANGPT4",3,3
"557","ANGPTL1",1,1
"558","ANGPTL3",1,1
"559","ANGPTL5",3,3
"560","ANGPTL8",1,1
"561","ANK1",8,8
"562","ANK2",6,8
"563","ANK3",3,3
"564","ANKAR",2,2
"565","ANKDD1A",1,2
"566","ANKEF1",3,3
"567","ANKFN1",1,1
"568","ANKFY1",2,2
"569","ANKHD1-EIF4EBP3",1,1
"570","ANKIB1",2,2
"571","ANKK1",1,1
"572","ANKLE1",1,1
"573","ANKMY1",2,2
"574","ANKRA2",1,2
"575","ANKRD10",2,2
"576","ANKRD11",3,4
"577","ANKRD12",4,4
"578","ANKRD13A",1,1
"579","ANKRD13B",3,3
"580","ANKRD13C",1,1
"581","ANKRD13D",1,1
"582","ANKRD17",5,5
"583","ANKRD20A2P",1,1
"584","ANKRD26",3,3
"585","ANKRD27",1,1
"586","ANKRD28",1,1
"587","ANKRD29",1,1
"588","ANKRD30A",2,2
"589","ANKRD33",3,3
"590","ANKRD34B",1,1
"591","ANKRD35",1,2
